honolulu,-10,HAST
anchorage,-9,AKDK
los angeles,-8,PDT
bend,-8,PDT
san francisco,-8,PDT
oxnard,-8,PDT
pasadena,-8,PDT
riverside,-8,PDT
sacramento,-8,PDT
san bernardino,-8,PDT
san diego,-8,PDT
san francisco,-8,PDT
san jose,-8,PDT
santa anna,-8,PDT
santa barbara,-8,PDT
santa cruz,-8,PDT
santa monica,-8,PDT
boulder,-7,MDT
salt lake city,-7,MDT
denver,-7,MDT
mesa,-7,MDT
phoenix,-7,MDT
tempe,-7,MDT
tucson,-7,MDT
tulsa,-6,CDT
chicago,-6,CDT
st. louis,-6,CDT
oklahoma city,-6,CDT
austin,-6,CDT
beaumont,-6,CDT
corpus christi,-6,CDT
dallas,-6,CDT
el paso,-6,CDT
fort worth,-6,CDT
garland,-6,CDT
houston,-6,CDT
lubbock,-6,CDT
atlanta,-5,EDT
new york city,-5,EDT
boston,-5,EDT
philadelphia,-5,EDT
miami,-5,EDT
jersey city,-5,EDT
newark,-5,EDT
jacksonville ,-5,EDT
cambridge,-5,EDT
la paz,-4,BOT
rio de janeiro,-3,BRT
brasillia,-3,BRT
madrid,2,CEST
melbourne,10,AEST
tokyo,9,JST
